Person Name,Role,Company Name,Classification,Interest Areas,url
Terry Smith,CEO,Rushmore Loan Management,Service Provider,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNzY=
"
Kevin Seery,Associate Director,,Service Provider,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNzU=
"
Cameron Wright,Investment Analyst,Progressive,Investor,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNzQ=
"
Kristopher Trocki,Portfolio Manager,Voya,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNzI=
"
Marcos Duque,Analyst,Longfellow Investment Management,Investor,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), ABS, CMBS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNzE=
"
Jonathan Lefor,Investment Credit Risk Manager,Corporate One Federal Credit Union,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, Regulation/policy","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNjk=
"
Cheryl Griffith,Senior Director,Fitch Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNjg=
"
Catheryn Robinson,Managing Director,Bryant Park Capital,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, Consumer ABS, Direct Lending, Fintech/AI","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNjI=
"
Allison Salas,Senior Director,Fitch Ratings,Service Provider,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNjE=
"
John Polito,Managing Director,Deutsche Bank,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNjA=
"
Scott Mensi,Institutional Portfolio Manager,Fidelity Management and Research Company,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNTk=
"
Courtney Bernier,Director,Fitch Ratings,Service Provider,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNTg=
"
Jerry Sullivan,Director,Deutsche Bank,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNTc=
"
Otavio Lopes,Portfolio Management,IFC,Other,"ABS, Consumer ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNTY=
"
Pasquale Cardone,Founder and CIO,PC2 Capital,Investor,CMBS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNTU=
"
Gregory Tsang,Chief Executive Officer,eRESI Capital LLC,Investor,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNTQ=
"
Amedee de Clermont-Tonnerre,Director - Asset Management / Europe,cohen and company,Investor,"CLOs/Leveraged Loans, Sustainable Finance","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNTM=
"
Joanna Nicholas,Partner,Mayer Brown,Service Provider,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNTI=
"
Stuart Litwin,Partner,Mayer Brown,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, ESG/PACE/Solar ABS, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNDg=
"
Rana Mitra,Managing Director,Issuer,Issuer,Commercial ABS (Equipment/Aircraft/Transportation),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNDc=
"
Jeff Tennyson,CEO,Lima One Capital,Issuer,"CMBS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNDY=
"
James Antonopoulos,Partner,Mayer Brown,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNDU=
"
Brian Kuhl,Partner,Mayer Brown LLP,Service Provider,"ABS, CMBS, RMBS (GSE and PLS), Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNDQ=
"
Robert Coors,Managing Director,Hollis Park Partners LP,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNDM=
"
Shawn Khani,Senior Deputy Director,FDIC,Government/Regulator,Regulation/policy,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNDI=
"
Paul Raskin,Senior Vice President,Neuberger Berman,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzNDA=
"
Jan Stewart,Partner,Mayer Brown LLP,Service Provider,"Private Credit, ABS, Consumer ABS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMzk=
"
Angela Ulum,Partner,Mayer Brown,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMzg=
"
Haukur Gudmundsson,Partner,Mayer Brown,Service Provider,"CMBS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMzc=
"
Pim Van Schie,Portfolio Manager,Neuberger Berman,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMzE=
"
George Sclavos,CFO,Lend Buzz,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMzA=
"
Joseph Rinaldo,"Director, Capital Markets",Prosper Marketplace,Issuer,"Private Credit, ABS, Consumer ABS, Fintech/AI, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMjk=
"
Michelle Fredenburg,Managing Director,,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMjg=
"
Ryan Wise,Manager,Velocity Commercial Capital,Issuer,CMBS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMjc=
"
Allison Ashmore,EVP Correspondent Lending,Vista Point,Investor,"RMBS (GSE and PLS), Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMjU=
"
Alan Koines,Assistant Treasurer,"Avis Budget Group, Inc.",Issuer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMjQ=
"
Wendy Gallion,"Head of Financial Markets, North America",CNH Industrial,Issuer,Commercial ABS (Equipment/Aircraft/Transportation),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMjM=
"
Christian Wall,Senior Managing Director,Cantor Fitzgerald & Co.,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMjI=
"
Tony Harris,Portfolio Manager,PT Asset Management,Investor,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), ABS, CMBS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMjE=
"
Eric Kaplan,"Director, Housing Finance Program Company",Milken Institute – Center for Financial Markets,Other,"ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, Regulation/policy, Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMTg=
"
Jack Adragna,Associate,Cantor Fitzgerald,Investment Bank or Broker Dealer,ESG/PACE/Solar ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMTc=
"
Bruce Weinstein,Chief Executive Officer,Concora Credit Inc.,Service Provider,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMTY=
"
Julie Greenman,Managing Director,Ares Management,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMTU=
"
Kevin Doyle,Managing Director,Cantor Fitzgerald,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), RMBS (GSE and PLS), Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMTQ=
"
Michael Muscolino,Partner,Sixth Street,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, RMBS (GSE and PLS), Consumer ABS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMTM=
"
William Babcock,Associate,Cantor Fitzgerald,Investment Bank or Broker Dealer,"ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMTI=
"
Sean Curran,Managing Director,Issuer,Issuer,"RMBS (GSE and PLS), Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMTE=
"
Russ Brocato,"Senior Vice President, Corporate Treasurer",Mariner Finance,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMDk=
"
David White,Vice President,Cantor Fitzgerald,Investment Bank or Broker Dealer,"ESG/PACE/Solar ABS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMDg=
"
Glenn Tso,Head of Structured Products,Carrington Capital Management,Issuer,"RMBS (GSE and PLS), Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAzMDc=
"
Kevin Friedrich,Chief Financial Officer,Avant,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyOTg=
"
Cynthia Shi,"Vice President, Portfolio Management",Catalyst Corporate Federal Credit Union,Investor,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyOTc=
"
Eric Rausher,Sr. Manager Credit Risk,World Omni Financial Corp.,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyOTY=
"
Kevin Colvin,Senior Vice President,Cantor Fitzgerald,Investment Bank or Broker Dealer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyOTU=
"
Michael DePalma,Managing Director,Cantor Fitzgerald,Investment Bank or Broker Dealer,"RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyOTQ=
"
Michael Cunningham,Senior Managing Director,Cantor Fitzgerald,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyOTM=
"
Elliot Conn,Partnerships and Business Development,Theorem LP,Investor,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyOTI=
"
Russell Schaub,Partner,Issuer,Issuer,CMBS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyOTE=
"
Kaelyn Abrell,Co-Portfolio Manager/Partner,ArrowMark Partners,Investor,Risk Transfer,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyOTA=
"
Christopher Courtney,Director - CLO Trading & Structuring,Canyon CLO Advisors,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyODk=
"
Joseph Reardon,Managing Director,Cantor Fitzgerald,Investment Bank or Broker Dealer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyODg=
"
Dave Roberts,Director,Cantor Fitzgerald,Investment Bank or Broker Dealer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyODQ=
"
Scott Shey,Chief Financial Officer,US Claims,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyODM=
"
Crystal Poston,Portfolio Manager,Ginnie Mae,Government/Regulator,"RMBS (GSE and PLS), ESG/PACE/Solar ABS, Regulation/policy","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyODI=
"
Daniel Huang,Managing Director,Angel Oak Capital,Investor,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyODE=
"
Neil Doolan,Managing Director,,Investment Bank or Broker Dealer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyODA=
"
Amit Paliwal,Portfolio Manager,"VWH Capital Management, LP",Investor,"RMBS (GSE and PLS), Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNzk=
"
Brendan McNamara,Managing Director,Cantor Fitzgerald,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), ESG/PACE/Solar ABS, Distressed Debt","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNzg=
"
Zach Wise,Head of Capital Markets,Sunlight Financial,Issuer,"Consumer ABS, Corporate Funding/Investment, Fintech/AI, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNzc=
"
Nathan Steuber,Portfolio Mgr,Fifth Third Bank,Issuer,"Commercial ABS (Equipment/Aircraft/Transportation), Consumer ABS, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNzY=
"
Arin Chilcote,Senior Managing Director,Cantor Fitzgerald,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNzQ=
"
Svetlana Kolesova,Risk Officer,Investor,Investor,"ABS, Consumer ABS, Sustainable Finance, Covered Bonds","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNzI=
"
Ryan Stark,Managing Director,Deutsche Bank,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNzE=
"
Christopher Keeshan,"Managing Director, Lender Finance",Sumitomo Mitsui Banking Corporation,Investor,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), ABS, RMBS (GSE and PLS), Consumer ABS, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNjY=
"
Katherine Bologna,Managing Director,Deutsche Bank,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNjU=
"
Joseph Kelly,Partner,New View Asset Management,Investor,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNjQ=
"
Daniel Gerber,Managing Director,Deutsche Bank,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNjM=
"
Fred Barney,Managing Director,JP Morgan Securities LLC,Investment Bank or Broker Dealer,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNjI=
"
Gary Kane,Managing Director,Deutsche Bank,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNjE=
"
Jared Feeney,Senior Vice President,Neuberger Berman,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNjA=
"
Pallo Blum-Tucker,Managing Director,State Street Corporation,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNTk=
"
Michael McCully,Partner,New View Advisors,Investor,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNTg=
"
Josh Grumer,Senior Director,Nuveen,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNTc=
"
Rob McDonough,Director of ESG and Regulatory Initiatives; Secretary,"Angel Oak Capital Advisors, LLC",Investor,"Private Credit, RMBS (GSE and PLS), ESG/PACE/Solar ABS, Sustainable Finance, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNDg=
"
Brian Kane,Managing Director,Bank of America,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNDc=
"
Alexander Gryb,Portfolio Manager,Sancus Capital Management,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNDU=
"
Alla Mikhalevsky,Vice President,Bank of America,Investment Bank or Broker Dealer,"ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNDM=
"
Robert Post,Senior Vice President,Corporate One Federal Credit Union,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, Regulation/policy","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNDI=
"
Sam Rao,Vice President,Bank of America,Investment Bank or Broker Dealer,"ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNDE=
"
Kulwant Sharma,Senior Risk Analyst,Federal Housing Finance Agency,Government/Regulator,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyNDA=
"
Cole MacKenzie,Director,Investment Bank or Broker Dealer,Investment Bank or Broker Dealer,"ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMzg=
"
Rizwan Akhter,Portfolio Manager,Generate Advisors,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMzY=
"
Thomas Luccioni,Director,Bank of America,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMzU=
"
Charles Odom,Senior Vice President & Treasurer,Cox Enterprises,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMzQ=
"
Austin Mosier,Director of Investments,AgFirst Farm Credit Bank,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, CMBS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMzM=
"
Carol Fuller,Managing Director,Bank of America,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMzI=
"
Sherry Ann Ferary,Senior Executive Assistant,JP MORGAN & CO.,Investment Bank or Broker Dealer,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMzE=
"
Andrew Cantillon,Director,Bank of America,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMzA=
"
Paolo Josca,Portfolio Manager,BNY Mellon,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMjk=
"
Mark Adelson,"Content Dir., PMR Journal",Pageant Media (also independent consultant),Other,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, Regulation/policy","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMjg=
"
John Whitney,Director,Bank of America,Investment Bank or Broker Dealer,"ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMjc=
"
Carl Anderson,Managing Director,Bank of America,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMjY=
"
Gannon McCaffery,Managing Director,King Street,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMjU=
"
Lauren Burke,Managing Director,Bank of America,Investment Bank or Broker Dealer,"ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMjQ=
"
Doug Hamilton,Managing Director,Hudson Advisors,Issuer,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMjM=
"
John Semrai,Managing Director,Bank of America,Investment Bank or Broker Dealer,"ABS, ESG/PACE/Solar ABS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMjI=
"
Chris Jonas,Managing Director,Bank of America,Investment Bank or Broker Dealer,"ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTg=
"
Dean Smith,Principal,"Stonehenge Financial Partners, LLC",Investor,"CMBS, RMBS (GSE and PLS), Fintech/AI, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTc=
"
Hugo Morrissey,Director,Bank of America,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTY=
"
Sam Woodruff,Vice President,Bank of America,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), RMBS (GSE and PLS), Consumer ABS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTU=
"
Benjamin Merrill,Managing Director,Bank of America,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, ESG/PACE/Solar ABS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTI=
"
Brad Sohl,Managing Director,Bank of America,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTE=
"
Ryan Bartkus,Senior Director,Florida Development Finance Corporation,Issuer,ESG/PACE/Solar ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTA=
"
Andrew Estes,Director,Bank of America,Investment Bank or Broker Dealer,"ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDk=
"
Dan Nudelman,CLO Portfolio Manager,,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDg=
"
Kashif Gilani,Director,Bank of America,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDc=
"
David Lefkowitz,Managing Director,JP Morgan Securities LLC,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDY=
"
Paul Mangione,Principal,Fort Schuyler,Service Provider,"ABS, RMBS (GSE and PLS), Consumer ABS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDU=
"
John Harchuck,Senior Director,Fitch Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDQ=
"
Patrick Kennedy,VP & Assistant Treasurer,Hertz Corporation,Issuer,Corporate Funding/Investment,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDM=
"
Brian Moore,Principal,Atalaya Capital,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, Consumer ABS, Direct Lending, Sustainable Finance","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDI=
"
Louis Geibel,"EVP, Vervent Services & Sales",Vervent,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDE=
"
Jack Evert,DFC Platform CFO,Lithia & Driveway,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMDA=
"
