Prepayment Date,Prepayment Type,Prepayment Amount,Number of Loans,Amount Not Applied,Prepayment Status,Reversed Date,Reversed Amount,Number of Reversed Loans,Pool Number,holder
10/25/2024,Prepayment,"$164,939.42 ",2,$0.00 ,,,$0.00 ,0,530522,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$111,880.36 ",1,$0.00 ,,,$0.00 ,0,530522,"BREAN CAPITAL, LLC, "
8/25/2024,Principal Reduction,"$203,959.54 ",0,$0.00 ,,,$0.00 ,0,530574,"BREAN CAPITAL, LLC, "
9/25/2024,Principal Reduction,"$17,000.00 ",0,$0.00 ,,,$0.00 ,0,530574,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$121,984.53 ",1,$0.00 ,,,$0.00 ,0,530574,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$8,500.00 ",0,$0.00 ,,,$0.00 ,0,530574,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$161,599.67 ",1,$0.00 ,,,$0.00 ,0,530574,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$10,200.00 ",0,$0.00 ,,,$0.00 ,0,530574,"BREAN CAPITAL, LLC, "
9/25/2024,Principal Reduction,"$59,146.32 ",0,$0.00 ,,,$0.00 ,0,530592,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$40,515.36 ",0,$0.00 ,,,$0.00 ,0,530592,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$6,401.13 ",0,$0.00 ,,,$0.00 ,0,530592,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$125,546.00 ",1,$0.00 ,,,$0.00 ,0,530631,"BREAN CAPITAL, LLC, "
9/25/2024,Prepayment,"$243,180.69 ",1,$0.00 ,,,$0.00 ,0,530507,"BREAN CAPITAL, LLC, "
9/25/2024,Principal Reduction,"$90,000.00 ",0,$0.00 ,,,$0.00 ,0,530507,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$150,000.00 ",0,$0.00 ,,,$0.00 ,0,530507,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$4,236,435.92 ",2,$0.00 ,,,$0.00 ,0,530507,"BREAN CAPITAL, LLC, "
8/25/2024,Prepayment,"$424,663.42 ",1,$0.00 ,,,$0.00 ,0,530542,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$232,275.00 ",0,$0.00 ,,,$0.00 ,0,530612,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$423,992.67 ",0,$0.00 ,,,$0.00 ,0,530634,"BREAN CAPITAL, LLC, "
7/25/2024,Prepayment,"$2,161,083.73 ",1,$0.00 ,,,$0.00 ,0,530526,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$1,019,123.49 ",0,$0.00 ,,,$0.00 ,0,530526,"BREAN CAPITAL, LLC, "
7/25/2024,Principal Reduction,"$86,250.00 ",0,$0.00 ,,,$0.00 ,0,530560,"BREAN CAPITAL, LLC, "
9/25/2024,Principal Reduction,"$45,050.78 ",0,$0.00 ,,,$0.00 ,0,530560,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$393,114.04 ",2,$0.00 ,,,$0.00 ,0,530560,"BREAN CAPITAL, LLC, "
5/25/2024,Prepayment,"$127,500.00 ",1,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
6/25/2024,Prepayment,"$370,374.88 ",1,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
7/25/2024,Prepayment,"$367,007.13 ",1,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
8/25/2024,Prepayment,"$124,339.56 ",1,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
8/25/2024,Principal Reduction,"$329,401.71 ",0,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
9/25/2024,Prepayment,"$1,055,901.74 ",2,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
9/25/2024,Principal Reduction,"$475,578.14 ",0,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$981,492.86 ",6,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$83,026.98 ",0,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$454,555.40 ",4,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$16,970.27 ",0,$0.00 ,,,$0.00 ,0,530540,"BREAN CAPITAL, LLC, "
06/25/2024,Prepayment,"$247,316.70",2,$0.00,,,$0.00,0,530500,"BMO CAPITAL MARKETS CORP., "
07/25/2024,Prepayment,"$246,398.38",2,$0.00,,,$0.00,0,530500,"BMO CAPITAL MARKETS CORP., "
08/25/2024,Prepayment,"$123,270.45",1,$0.00,,,$0.00,0,530500,"BMO CAPITAL MARKETS CORP., "
09/25/2024,Prepayment,"$245,415.53",2,$0.00,,,$0.00,0,530500,"BMO CAPITAL MARKETS CORP., "
10/25/2024,Prepayment,"$241,173.23",2,$0.00,,,$0.00,0,530500,"BMO CAPITAL MARKETS CORP., "
10/25/2024,Principal Reduction,"$24,200.24",0,$0.00,,,$0.00,0,530500,"BMO CAPITAL MARKETS CORP., "
09/25/2024,Prepayment,"$243,180.69",1,$0.00,,,$0.00,0,530507,"BREAN CAPITAL, LLC, "
09/25/2024,Principal Reduction,"$90,000.00",0,$0.00,,,$0.00,0,530507,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$150,000.00",0,$0.00,,,$0.00,0,530507,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$4,236,435.92",2,$0.00,,,$0.00,0,530507,"BREAN CAPITAL, LLC, "
05/25/2024,Prepayment,"$1,431,431.20",1,$0.00,,,$0.00,0,530503,"FHN FINANCIAL CAPITAL MARKETS, "
07/25/2024,Prepayment,"$291,027.37",1,$0.00,,,$0.00,0,530503,"FHN FINANCIAL CAPITAL MARKETS, "
04/25/2024,Prepayment,"$775,917.11",2,$0.00,,,$0.00,0,530496,"FHN FINANCIAL CAPITAL MARKETS, "
07/25/2024,Principal Reduction,"$150,000.00",0,$0.00,,,$0.00,0,530496,"FHN FINANCIAL CAPITAL MARKETS, "
11/25/2024,Prepayment,"$152,567.43",1,$0.00,,,$0.00,0,530496,"FHN FINANCIAL CAPITAL MARKETS, "
10/25/2024,Prepayment,"$838,925.78",1,$0.00,,,$0.00,0,530505,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$20,153.78",1,$0.00,,,$0.00,0,530502,"RAYMOND JAMES BANK, N.A., "
06/25/2024,Prepayment,"$179,807.11",1,$0.00,,,$0.00,0,530511,"RAYMOND JAMES BANK, N.A., "
07/25/2024,Prepayment,"$277,903.42",1,$0.00,,,$0.00,0,530510,"STIFEL NICOLAUS & COMPANY, INC., "
08/25/2024,Prepayment,"$762,614.36",1,$0.00,,,$0.00,0,540117,"STONEWALL INVESTMENTS TENNESSEE INC., "
06/25/2024,Prepayment,"$125,571.74",1,$0.00,,,$0.00,0,530530,"BMO CAPITAL MARKETS CORP., "
07/25/2024,Prepayment,"$123,852.55",1,$0.00,,,$0.00,0,530530,"BMO CAPITAL MARKETS CORP., "
08/25/2024,Prepayment,"$79,055.86",1,$0.00,,,$0.00,0,530530,"BMO CAPITAL MARKETS CORP., "
08/25/2024,Principal Reduction,"$25,500.00",0,$0.00,,,$0.00,0,530530,"BMO CAPITAL MARKETS CORP., "
09/25/2024,Prepayment,"$82,425.99",1,$0.00,,,$0.00,0,530530,"BMO CAPITAL MARKETS CORP., "
09/25/2024,Principal Reduction,"$41,220.60",0,$0.00,,,$0.00,0,530530,"BMO CAPITAL MARKETS CORP., "
10/25/2024,Prepayment,"$122,986.30",1,$0.00,,,$0.00,0,530530,"BMO CAPITAL MARKETS CORP., "
07/25/2024,Prepayment,"$2,161,083.73",1,$0.00,,,$0.00,0,530526,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$1,019,123.49",0,$0.00,,,$0.00,0,530526,"BREAN CAPITAL, LLC, "
07/25/2024,Prepayment,"$442,800.97",1,$0.00,,,$0.00,0,530515,"FHN FINANCIAL CAPITAL MARKETS, "
07/25/2024,Prepayment,"$260,207.61",1,$0.00,,,$0.00,0,530527,"FHN FINANCIAL CAPITAL MARKETS, "
08/25/2024,Prepayment,"$3,097,375.19",1,$0.00,,,$0.00,0,530527,"FHN FINANCIAL CAPITAL MARKETS, "
08/25/2024,Principal Reduction,"$893,272.13",0,$0.00,,,$0.00,0,530527,"FHN FINANCIAL CAPITAL MARKETS, "
09/25/2024,Prepayment,"$1,896.07",1,$0.00,,,$0.00,0,530527,"FHN FINANCIAL CAPITAL MARKETS, "
11/25/2024,Prepayment,"$880,171.23",2,$0.00,,,$0.00,0,530527,"FHN FINANCIAL CAPITAL MARKETS, "
05/25/2024,Principal Reduction,"$90,916.40",0,$0.00,,,$0.00,0,530514,"RAYMOND JAMES BANK, N.A., "
06/25/2024,Prepayment,"$125,646.38",1,$0.00,,,$0.00,0,530514,"RAYMOND JAMES BANK, N.A., "
08/25/2024,Prepayment,"$482,274.27",1,$0.00,,,$0.00,0,530514,"RAYMOND JAMES BANK, N.A., "
08/25/2024,Principal Reduction,"$198,075.00",0,$0.00,,,$0.00,0,530514,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$40,027.89",1,$0.00,,,$0.00,0,530514,"RAYMOND JAMES BANK, N.A., "
10/25/2024,Prepayment,"$123,106.58",1,$0.00,,,$0.00,0,530514,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$83,264.26",1,$0.00,,,$0.00,0,530517,"RAYMOND JAMES BANK, N.A., "
05/25/2024,Principal Reduction,"$75,000.00",0,$0.00,,,$0.00,0,530525,"STIFEL NICOLAUS & COMPANY, INC., "
09/25/2024,Prepayment,"$123,215.96",1,$0.00,,,$0.00,0,530525,"STIFEL NICOLAUS & COMPANY, INC., "
11/25/2024,Prepayment,"$744,850.44",2,$0.00,,,$0.00,0,530525,"STIFEL NICOLAUS & COMPANY, INC., "
05/25/2024,Prepayment,"$127,500.00",1,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
06/25/2024,Prepayment,"$370,374.88",1,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
07/25/2024,Prepayment,"$367,007.13",1,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
08/25/2024,Prepayment,"$124,339.56",1,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
08/25/2024,Principal Reduction,"$329,401.71",0,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
09/25/2024,Prepayment,"$1,055,901.74",2,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
09/25/2024,Principal Reduction,"$475,578.14",0,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$981,492.86",6,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$83,026.98",0,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$454,555.40",4,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$16,970.27",0,$0.00,,,$0.00,0,530540,"BREAN CAPITAL, LLC, "
08/25/2024,Prepayment,"$424,663.42",1,$0.00,,,$0.00,0,530542,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$1,120,343.64",1,$0.00,,,$0.00,0,530543,"FHN FINANCIAL CAPITAL MARKETS, "
06/25/2024,Prepayment,"$41,971.41",1,$0.00,,,$0.00,0,530536,"RAYMOND JAMES BANK, N.A., "
08/25/2024,Prepayment,"$41,437.61",1,$0.00,,,$0.00,0,530536,"RAYMOND JAMES BANK, N.A., "
08/25/2024,Principal Reduction,"$8,500.00",0,$0.00,,,$0.00,0,530536,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$29,641.48",1,$0.00,,,$0.00,0,530536,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Prepayment,"$40,627.03",1,$0.00,,,$0.00,0,530536,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$474,126.25",2,$0.00,,,$0.00,0,530532,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$1,594,154.25",1,$0.00,,,$0.00,0,530561,"BMO CAPITAL MARKETS CORP., "
07/25/2024,Principal Reduction,"$86,250.00",0,$0.00,,,$0.00,0,530560,"BREAN CAPITAL, LLC, "
09/25/2024,Principal Reduction,"$45,050.78",0,$0.00,,,$0.00,0,530560,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$393,114.04",2,$0.00,,,$0.00,0,530560,"BREAN CAPITAL, LLC, "
08/25/2024,Prepayment,"$37,271.58",1,$0.00,,,$0.00,0,530552,"FHN FINANCIAL CAPITAL MARKETS, "
09/25/2024,Principal Reduction,"$21,250.00",0,$0.00,,,$0.00,0,530553,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Prepayment,"$24,536.65",1,$0.00,,,$0.00,0,530553,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Principal Reduction,"$22,055.76",0,$0.00,,,$0.00,0,530553,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$384,251.81",2,$0.00,,,$0.00,0,530548,"STIFEL NICOLAUS & COMPANY, INC., "
07/25/2024,Prepayment,"$260,425.59",1,$0.00,,,$0.00,0,540123,"STONEWALL INVESTMENTS TENNESSEE INC., "
08/25/2024,Prepayment,"$226,836.38",1,$0.00,,,$0.00,0,540123,"STONEWALL INVESTMENTS TENNESSEE INC., "
10/25/2024,Prepayment,"$125,990.37",1,$0.00,,,$0.00,0,540123,"STONEWALL INVESTMENTS TENNESSEE INC., "
08/25/2024,Principal Reduction,"$203,959.54",0,$0.00,,,$0.00,0,530574,"BREAN CAPITAL, LLC, "
09/25/2024,Principal Reduction,"$17,000.00",0,$0.00,,,$0.00,0,530574,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$121,984.53",1,$0.00,,,$0.00,0,530574,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$8,500.00",0,$0.00,,,$0.00,0,530574,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$161,599.67",1,$0.00,,,$0.00,0,530574,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$10,200.00",0,$0.00,,,$0.00,0,530574,"BREAN CAPITAL, LLC, "
09/25/2024,Prepayment,"$3,468,180.93",1,$0.00,,,$0.00,0,530570,"FHN FINANCIAL CAPITAL MARKETS, "
08/25/2024,Prepayment,$301.64,1,$0.00,,,$0.00,0,530565,"RAYMOND JAMES BANK, N.A., "
08/25/2024,Principal Reduction,"$41,668.36",0,$0.00,,,$0.00,0,530565,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Principal Reduction,"$15,300.00",0,$0.00,,,$0.00,0,530565,"RAYMOND JAMES BANK, N.A., "
10/25/2024,Prepayment,"$66,295.72",2,$0.00,,,$0.00,0,530565,"RAYMOND JAMES BANK, N.A., "
10/25/2024,Principal Reduction,"$36,804.78",0,$0.00,,,$0.00,0,530565,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Prepayment,$0.00,1,$0.00,,,$0.00,0,530565,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Principal Reduction,"$17,000.00",0,$0.00,,,$0.00,0,530565,"RAYMOND JAMES BANK, N.A., "
10/25/2024,Principal Reduction,"$51,150.00",0,$0.00,,,$0.00,0,530580,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Prepayment,"$124,211.96",1,$0.00,,,$0.00,0,530607,"FHN FINANCIAL CAPITAL MARKETS, "
10/25/2024,Prepayment,"$125,546.00",1,$0.00,,,$0.00,0,530631,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$82,838.62",0,$0.00,,,$0.00,0,530622,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Prepayment,"$272,234.37",1,$0.00,,,$0.00,0,530630,"STIFEL NICOLAUS & COMPANY, INC., "
11/25/2024,Principal Reduction,"$148,387.37",0,$0.00,,,$0.00,0,530630,"STIFEL NICOLAUS & COMPANY, INC., "
06/25/2024,Principal Reduction,"$46,887.20",0,$0.00,,,$0.00,0,530512,"CANTOR FITZGERALD & CO., "
08/25/2024,Principal Reduction,"$36,513.25",0,$0.00,,,$0.00,0,530512,"CANTOR FITZGERALD & CO., "
10/25/2024,Prepayment,"$397,062.94",1,$0.00,,,$0.00,0,530512,"CANTOR FITZGERALD & CO., "
10/25/2024,Principal Reduction,"$74,097.89",0,$0.00,,,$0.00,0,530512,"CANTOR FITZGERALD & CO., "
11/25/2024,Prepayment,"$98,409.98",1,$0.00,,,$0.00,0,530512,"CANTOR FITZGERALD & CO., "
08/25/2024,Principal Reduction,"$150,665.45",0,$0.00,,,$0.00,0,530506,"RAYMOND JAMES BANK, N.A., "
04/25/2024,Prepayment,"$126,201.28",1,$0.00,,,$0.00,0,530509,"STIFEL NICOLAUS & COMPANY, INC., "
07/25/2024,Prepayment,"$2,812,376.30",1,$0.00,,,$0.00,0,530509,"STIFEL NICOLAUS & COMPANY, INC., "
07/25/2024,Principal Reduction,"$112,500.00",0,$0.00,,,$0.00,0,530509,"STIFEL NICOLAUS & COMPANY, INC., "
10/25/2024,Principal Reduction,"$54,486.50",0,$0.00,,,$0.00,0,530509,"STIFEL NICOLAUS & COMPANY, INC., "
11/25/2024,Prepayment,"$2,345,339.70",1,$0.00,,,$0.00,0,530509,"STIFEL NICOLAUS & COMPANY, INC., "
06/25/2024,Prepayment,"$257,644.72",1,$0.00,,,$0.00,0,530522,"BREAN CAPITAL, LLC, "
07/25/2024,Prepayment,"$592,993.19",1,$0.00,,,$0.00,0,530522,"BREAN CAPITAL, LLC, "
08/25/2024,Principal Reduction,"$138,093.79",0,$0.00,,,$0.00,0,530522,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$164,939.42",2,$0.00,,,$0.00,0,530522,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$111,880.36",1,$0.00,,,$0.00,0,530522,"BREAN CAPITAL, LLC, "
09/25/2024,Prepayment,"$59,344.75",1,$0.00,,,$0.00,0,530531,"FHN FINANCIAL CAPITAL MARKETS, "
10/25/2024,Prepayment,"$13,003.72",1,$0.00,,,$0.00,0,530521,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Prepayment,"$40,365.05",1,$0.00,,,$0.00,0,530521,"RAYMOND JAMES BANK, N.A., "
08/25/2024,Prepayment,"$124,792.44",1,$0.00,,,$0.00,0,530546,"BMO CAPITAL MARKETS CORP., "
10/25/2024,Prepayment,"$82,387.36",1,$0.00,,,$0.00,0,530546,"BMO CAPITAL MARKETS CORP., "
10/25/2024,Principal Reduction,"$16,704.90",0,$0.00,,,$0.00,0,530546,"BMO CAPITAL MARKETS CORP., "
11/25/2024,Principal Reduction,"$42,981.24",0,$0.00,,,$0.00,0,530546,"BMO CAPITAL MARKETS CORP., "
08/25/2024,Principal Reduction,"$448,497.94",0,$0.00,,,$0.00,0,530544,"CANTOR FITZGERALD & CO., "
10/25/2024,Principal Reduction,"$264,154.98",0,$0.00,,,$0.00,0,530544,"CANTOR FITZGERALD & CO., "
11/25/2024,Prepayment,"$437,585.68",2,$0.00,,,$0.00,0,530544,"CANTOR FITZGERALD & CO., "
07/25/2024,Principal Reduction,"$97,206.00",0,$0.00,,,$0.00,0,530557,"BMO CAPITAL MARKETS CORP., "
09/25/2024,Principal Reduction,"$93,750.00",0,$0.00,,,$0.00,0,530557,"BMO CAPITAL MARKETS CORP., "
10/25/2024,Principal Reduction,"$89,766.14",0,$0.00,,,$0.00,0,530557,"BMO CAPITAL MARKETS CORP., "
11/25/2024,Prepayment,"$123,981.03",1,$0.00,,,$0.00,0,530554,"FHN FINANCIAL CAPITAL MARKETS, "
08/25/2024,Prepayment,"$25,021.84",1,$0.00,,,$0.00,0,530558,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$1,323,985.18",1,$0.00,,,$0.00,0,530558,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Principal Reduction,"$512,780.09",0,$0.00,,,$0.00,0,540122,"WELLS FARGO SECURITIES, LLC, "
08/25/2024,Prepayment,"$315,417.47",1,$0.00,,,$0.00,0,530572,"FHN FINANCIAL CAPITAL MARKETS, "
10/25/2024,Principal Reduction,"$91,668.41",0,$0.00,,,$0.00,0,530572,"FHN FINANCIAL CAPITAL MARKETS, "
08/25/2024,Principal Reduction,"$262,500.00",0,$0.00,,,$0.00,0,530567,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Principal Reduction,"$76,313.00",0,$0.00,,,$0.00,0,530567,"RAYMOND JAMES BANK, N.A., "
10/25/2024,Prepayment,"$48,482.33",1,$0.00,,,$0.00,0,530567,"RAYMOND JAMES BANK, N.A., "
10/25/2024,Principal Reduction,"$106,050.00",0,$0.00,,,$0.00,0,530567,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Principal Reduction,"$126,835.19",0,$0.00,,,$0.00,0,530569,"STIFEL NICOLAUS & COMPANY, INC., "
09/25/2024,Principal Reduction,"$59,146.32",0,$0.00,,,$0.00,0,530592,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$40,515.36",0,$0.00,,,$0.00,0,530592,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$6,401.13",0,$0.00,,,$0.00,0,530592,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$335,630.16",0,$0.00,,,$0.00,0,530587,"FHN FINANCIAL CAPITAL MARKETS, "
11/25/2024,Prepayment,"$41,862.12",1,$0.00,,,$0.00,0,530596,"RAYMOND JAMES BANK, N.A., "
10/25/2024,Principal Reduction,"$152,392.71",0,$0.00,,,$0.00,0,530595,"STIFEL NICOLAUS & COMPANY, INC., "
11/25/2024,Prepayment,"$146,316.53",1,$0.00,,,$0.00,0,530595,"STIFEL NICOLAUS & COMPANY, INC., "
11/25/2024,Prepayment,"$495,187.51",1,$0.00,,,$0.00,0,530621,"CANTOR FITZGERALD & CO., "
04/25/2024,Prepayment,"$235,167.25",2,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
04/25/2024,Principal Reduction,"$121,183.87",0,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
05/25/2024,Prepayment,"$168,650.88",2,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
05/25/2024,Principal Reduction,"$52,500.00",0,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
06/25/2024,Prepayment,"$149,618.20",1,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
07/25/2024,Prepayment,"$463,582.12",3,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
07/25/2024,Principal Reduction,"$21,768.72",0,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
08/25/2024,Prepayment,"$361,329.26",3,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
09/25/2024,Prepayment,"$679,900.36",5,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$988,827.99",8,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$863,598.97",2,$0.00,,,$0.00,0,530508,"BREAN CAPITAL, LLC, "
07/25/2024,Principal Reduction,"$8,500.00",0,$0.00,,,$0.00,0,530501,"RAYMOND JAMES BANK, N.A., "
06/25/2024,Prepayment,"$3,682,703.02",1,$0.00,,,$0.00,0,530520,"FHN FINANCIAL CAPITAL MARKETS, "
11/25/2024,Principal Reduction,"$234,711.81",0,$0.00,,,$0.00,0,530520,"FHN FINANCIAL CAPITAL MARKETS, "
10/25/2024,Prepayment,"$124,247.26",1,$0.00,,,$0.00,0,530551,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$4,611,164.81",2,$0.00,,,$0.00,0,530576,"BMO CAPITAL MARKETS CORP., "
11/25/2024,Principal Reduction,"$122,476.03",0,$0.00,,,$0.00,0,530576,"BMO CAPITAL MARKETS CORP., "
08/25/2024,Prepayment,"$60,017.10",1,$0.00,,,$0.00,0,530562,"RAYMOND JAMES BANK, N.A., "
